Frame_No,Filename,Surface_Row,Plug_Height_px,Plug_Height_mm
0,frame_00001 (1).png,97,98,4.9
1,frame_00002.png,97,98,4.9
2,frame_00003.png,97,98,4.9
3,frame_00004.png,97,98,4.9
4,frame_00056.png,59,136,6.800000000000001
5,frame_00078.png,98,97,4.8500000000000005
6,frame_00079.png,153,42,2.1
7,frame_00080.png,97,98,4.9
8,frame_00081.png,138,57,2.85
9,frame_00082.png,74,121,6.050000000000001
10,frame_00083.png,125,70,3.5
11,frame_00141.png,100,95,4.75
12,frame_00154.png,100,95,4.75
13,frame_00155.png,101,94,4.7
14,frame_00156.png,101,94,4.7
15,frame_00157.png,101,94,4.7
16,frame_00158.png,101,94,4.7
17,frame_00159.png,101,94,4.7
18,frame_00160.png,101,94,4.7
